City,Latitude,Longitude,Humidity,Temperature,Clouds,Wind
Arraial do Cabo,-22.9661,-42.0278,78,27.980000000000018,20,7.72
Mataura,-46.1927,168.8643,98,9.710000000000036,100,2.44
Saskylakh,71.9167,114.0833,91,-21.419999999999987,100,5.64
Wanning,18.8003,110.3967,85,17.360000000000014,97,3.21
Amapá,1.0,-52.0,96,24.920000000000016,44,1.92
Pechenga,69.5259,31.1703,93,-2.519999999999982,100,2.33
Cherskiy,68.75,161.3,99,-41.79999999999998,39,1.74
Amga,60.8953,131.9608,99,-36.49999999999997,92,0.91
Kavaratti,10.5669,72.642,66,27.210000000000036,58,3.63
Ahipara,-35.1667,173.1667,72,20.53000000000003,100,2.78
Hithadhoo,-0.6,73.0833,77,27.30000000000001,99,3.88
Atuona,-9.8,-139.0333,73,25.950000000000045,8,8.5
Bredasdorp,-34.5322,20.0403,77,17.620000000000005,73,2.06
Bilma,18.6853,12.9164,28,14.340000000000032,0,3.55
Tobol,52.6844,62.5794,93,-15.419999999999959,100,3.3
Saint Paul Harbor,57.79,-152.4072,87,2.730000000000018,100,2.57
Puerto Escondido,15.85,-97.0667,58,28.58000000000004,46,3.39
Isangel,-19.55,169.2667,94,26.060000000000002,75,1.03
Shitkino,56.3703,98.3543,99,-14.669999999999959,96,0.38
Pacific Grove,36.6177,-121.9166,75,18.650000000000034,0,1.34
Ariquemes,-9.9133,-63.0408,88,28.220000000000027,85,1.25
Guerrero Negro,27.9769,-114.0611,68,18.189999999999998,99,5.94
Nha Trang,12.25,109.1833,88,23.0,26,3.0
Puerto Ayora,-0.7393,-90.3518,74,27.980000000000018,99,3.5
Qaanaaq,77.484,-69.3632,68,-22.069999999999965,0,3.44
Thaba Nchu,-29.2093,26.839,80,17.879999999999995,25,6.35
Ponta do Sol,32.6667,-17.1,82,18.350000000000023,100,8.2
Avarua,-21.2078,-159.775,78,26.03000000000003,75,9.26
Geraldton,-28.7667,114.6,49,20.230000000000018,0,3.09
Palmas Bellas,9.2319,-80.0867,67,31.950000000000045,52,6.85
Brae,60.3964,-1.353,67,0.9500000000000455,100,15.08
Bluff,-46.6,168.3333,70,9.890000000000043,95,8.84
Beringovskiy,63.05,179.3167,89,-30.109999999999985,9,4.39
Butaritari,3.0707,172.7902,78,27.640000000000043,100,7.86
Mata,40.683,-7.4592,65,8.110000000000014,2,2.16
Coracora,-15.0333,-73.7833,54,16.27000000000004,80,4.54
Morant Bay,17.8815,-76.4093,70,29.79000000000002,7,5.47
Champerico,14.3,-91.9167,61,33.30000000000001,0,4.59
Wamba,8.9333,8.6,25,22.57000000000005,67,1.36
Leshukonskoye,64.8989,45.7622,93,-6.339999999999975,100,5.59
Ust'-Omchug,61.15,149.6333,90,-35.73999999999998,11,0.7
Lufilufi,-13.8745,-171.5986,76,27.879999999999995,100,8.27
Lebu,-37.6167,-73.65,63,16.160000000000025,0,4.96
College,64.8569,-147.8028,79,-15.229999999999961,75,0.0
Mar del Plata,-38.0023,-57.5575,86,23.010000000000048,40,5.36
Altus,34.6381,-99.334,35,5.730000000000018,40,3.58
Wells,51.2079,-2.649,80,7.57000000000005,18,2.62
Barcelona,41.3888,2.159,84,10.430000000000007,20,1.03
New Norfolk,-42.7826,147.0587,81,10.510000000000048,100,0.65
Saint-Augustin,51.226,-58.6502,79,-17.72999999999999,27,7.08
Anadyr,64.75,177.4833,73,-36.66999999999999,20,2.68
Touros,-5.1989,-35.4608,67,31.5,28,6.32
São João da Barra,-21.6403,-41.0511,85,30.05000000000001,6,5.9
Paris,48.8534,2.3488,94,6.580000000000041,75,0.89
Upernavik,72.7868,-56.1549,70,-8.46999999999997,100,3.17
Aransas Pass,27.9095,-97.15,82,29.129999999999995,40,4.47
Mil'kovo,54.7167,158.6167,93,-11.859999999999957,100,2.93
Thompson,55.7435,-97.8558,64,-25.909999999999968,0,4.63
Tuatapere,-46.1333,167.6833,85,9.900000000000034,100,5.21
Sangar,63.9242,127.4739,97,-38.97999999999999,16,2.51
Dikson,73.5069,80.5464,100,-28.93999999999997,47,3.29
Cabo San Lucas,22.8909,-109.9124,59,27.610000000000014,100,0.45
Yumen,40.2833,97.2,38,-4.669999999999959,68,3.9
Ovalle,-30.5983,-71.2003,25,28.450000000000045,0,5.38
Norman Wells,65.282,-126.8329,68,-33.97999999999999,40,2.06
Tiksi,71.6872,128.8694,67,-16.989999999999952,100,8.81
Khandyga,62.6667,135.6,100,-43.339999999999975,56,1.2
Ribeira Grande,38.5167,-28.7,77,18.220000000000027,40,7.2
Khatanga,71.9667,102.5,98,-21.419999999999987,100,3.46
Chui,-33.6971,-53.4616,66,28.83000000000004,53,3.23
Fenoarivo,-18.933,47.4354,100,19.04000000000002,75,2.06
Paamiut,61.994,-49.6678,84,3.140000000000043,100,21.19
Canavieiras,-15.675,-38.9472,68,27.860000000000014,35,3.18
Soligalich,59.0778,42.2864,92,-8.549999999999955,99,4.75
San Jose,37.3394,-121.895,73,18.110000000000014,100,0.0
Bambous Virieux,-20.3428,57.7575,89,26.230000000000018,40,2.06
Khovd,48.0056,91.6419,89,-16.239999999999952,98,1.17
Nanortalik,60.1432,-45.2371,87,2.910000000000025,100,11.54
Bathsheba,13.2167,-59.5167,69,28.340000000000032,20,8.23
Henties Bay,-22.116,14.2845,87,21.03000000000003,100,1.79
Bella Union,-30.2752,-57.6007,26,39.34000000000003,12,5.05
Cidreira,-30.1811,-50.2056,79,27.150000000000034,9,5.87
Mimongo,-1.6195,11.6068,95,21.210000000000036,99,0.43
Severo-Kuril'sk,50.6789,156.125,88,-1.92999999999995,100,5.28
Najrān,17.4924,44.1277,60,18.360000000000014,0,0.56
Fare,-16.7,-151.0167,77,26.900000000000034,100,9.3
Hermanus,-34.4187,19.2345,73,18.83000000000004,29,2.44
Xinpu,34.5997,119.1594,63,-2.0399999999999636,5,5.59
Yar-Sale,66.8333,70.8333,100,-21.75999999999999,83,3.16
Yermolayevo,52.7167,55.8,95,-14.799999999999955,100,2.7
Clyde River,70.4692,-68.5914,85,-13.870000000000005,100,17.49
Yellowknife,62.456,-114.3525,76,-27.059999999999974,75,7.2
George Town,5.4112,100.3354,82,27.720000000000027,20,0.89
Nishihara,26.1842,127.7558,62,13.600000000000023,6,2.57
Kalaiya,27.0327,85.0022,75,11.180000000000007,3,2.0
Mercedes,-34.6515,-59.4307,70,29.360000000000014,99,4.53
Cedar City,37.6775,-113.0619,52,6.330000000000041,0,2.57
Abu Samrah,35.3029,37.1841,65,0.37000000000000455,45,6.21
Sikonge,-5.6333,32.7667,93,17.860000000000014,100,0.37
Dannenberg,53.0967,11.09,84,4.520000000000039,100,7.77
New London,41.4834,-72.0662,66,8.78000000000003,0,2.68
San Patricio,28.017,-97.5169,41,29.230000000000018,11,6.9
Road Town,18.4167,-64.6167,69,29.05000000000001,40,5.66
Port Alfred,-33.5906,26.891,79,21.060000000000002,2,6.38
Fort Frances,48.5999,-93.4003,73,-18.879999999999967,40,1.79
Bethel,41.3712,-73.414,58,8.180000000000007,0,0.45
Mahébourg,-20.4081,57.7,89,26.25,40,2.06
Ambon City,-3.6954,128.1814,82,26.310000000000002,100,4.13
Kirakira,-10.4544,161.9205,80,27.110000000000014,43,0.7
Cape Town,-33.9258,18.4232,69,19.49000000000001,0,1.34
Lorengau,-2.0226,147.2712,82,27.129999999999995,96,6.68
Hong Kong,22.2855,114.1577,78,16.29000000000002,5,1.34
Namatanai,-3.6667,152.4333,86,26.210000000000036,100,7.61
Berlevåg,70.8578,29.0864,69,-1.0299999999999727,20,10.29
Ilulissat,69.2167,-51.1,52,4.010000000000048,75,5.66
Moose Factory,51.2585,-80.6094,65,-18.99999999999997,100,5.14
Meadow Lake,34.8014,-106.5436,37,11.580000000000041,41,3.06
Abay,49.6311,72.8539,97,-18.789999999999964,7,3.22
Codrington,-38.2667,141.9667,82,13.220000000000027,0,4.57
Coahuayana Viejo,18.7333,-103.6833,42,30.960000000000036,91,3.09
Leningradskiy,69.3833,178.4167,97,-36.69999999999999,34,1.87
Røros,62.5747,11.3842,73,-8.089999999999975,100,9.77
Owando,-0.4819,15.8999,73,24.480000000000018,100,0.43
Puri,19.8,85.85,61,16.29000000000002,6,0.91
Rincon,32.296,-81.2354,34,19.100000000000023,75,1.78
Puerto Ayacucho,5.6639,-67.6236,28,33.879999999999995,29,1.57
Nuevo Progreso,23.1667,-97.95,62,28.110000000000014,50,1.79
Pevek,69.7008,170.3133,97,-38.62999999999997,40,1.72
Coquimbo,-29.9533,-71.3436,55,19.850000000000023,0,6.69
Rabo de Peixe,37.8,-25.5833,99,15.730000000000018,20,6.69
Nikolskoye,59.7035,30.7861,93,3.2600000000000477,100,5.22
Pontes e Lacerda,-15.2261,-59.3353,49,32.22000000000003,77,1.55
Juba,4.8517,31.5825,26,24.82000000000005,82,0.09
Yulara,-25.2406,130.9889,68,22.910000000000025,75,3.09
Laguna,38.421,-121.4238,75,16.930000000000007,0,0.45
Bemidji,47.4736,-94.8803,66,-17.269999999999982,0,8.23
Mossamedes,-15.1961,12.1522,81,21.57000000000005,14,2.63
Shar,49.5886,81.0453,96,-12.649999999999977,100,5.33
Hasaki,35.7333,140.8333,55,-2.839999999999975,58,3.01
Boa Vista,2.8197,-60.6733,38,32.99000000000001,75,3.6
Colinas,-6.0258,-44.2492,80,27.5,98,0.82
Zhezkazgan,47.8043,67.7144,92,-13.299999999999955,98,4.59
Lanzhou,36.0564,103.7922,52,-7.399999999999977,24,1.02
Kiama,-34.6833,150.8667,71,19.760000000000048,73,0.89
Salalah,17.0151,54.0924,69,24.05000000000001,0,2.06
Rovaniemi,66.5,25.7167,100,0.6700000000000159,20,3.09
Keta,5.9179,0.9879,64,27.120000000000005,29,4.63
Bengkulu,-3.8004,102.2655,91,23.220000000000027,100,5.33
Port-Cartier,50.0334,-66.8654,75,-16.810000000000002,100,1.06
Shubarshi,48.5872,57.1869,96,-19.619999999999976,90,3.41
Kilindoni,-7.9139,39.6668,76,26.600000000000023,99,2.87
Vanimo,-2.6741,141.3028,89,24.720000000000027,100,3.48
Richards Bay,-28.783,32.0377,89,23.150000000000034,100,2.73
Mandalgovi,45.7625,106.2708,85,-14.310000000000002,52,2.64
Siirt,37.9326,41.9403,93,-2.2199999999999704,100,1.46
Carnarvon,-24.8667,113.6333,88,25.04000000000002,9,3.09
Dhidhdhoo,6.8833,73.1,69,27.260000000000048,89,3.56
Bilky,48.315,23.1325,96,-2.2199999999999704,94,1.59
Souillac,-20.5167,57.5167,89,26.310000000000002,40,2.06
Ancud,-41.8697,-73.8203,62,21.79000000000002,62,2.96
Acapulco de Juárez,16.8634,-99.8901,65,28.900000000000034,75,4.63
Araouane,18.9048,-3.5265,12,19.150000000000034,4,4.89
Dalvik,65.9702,-18.5286,60,-3.0399999999999636,93,5.03
Avera,33.194,-82.5271,43,17.04000000000002,100,3.97
Delta del Tigre,-34.7633,-56.3853,83,23.230000000000018,100,6.69
Islamkot,24.6997,70.177,62,20.28000000000003,33,4.58
Sitka,57.0531,-135.33,70,4.939999999999998,100,11.83
Hudson Bay,52.85,-102.3842,85,-21.859999999999985,50,3.32
Dudinka,69.4058,86.1778,98,-19.099999999999966,100,2.9
Gambēla,8.25,34.5833,28,26.620000000000005,37,1.07
Klaksvík,62.2266,-6.589,57,-0.48999999999995225,100,12.66
Tortosa,40.8125,0.5216,65,9.939999999999998,5,1.81
Chokurdakh,70.6333,147.9167,96,-35.90999999999997,60,2.07
Narsaq,60.9167,-46.05,84,8.120000000000005,100,4.34
Asău,46.4333,26.4,83,-4.289999999999964,16,3.27
Victor Harbor,-35.5667,138.6167,74,24.33000000000004,0,2.6
Honningsvåg,70.9821,25.9704,93,-0.13999999999998636,100,12.35
Esperance,-33.8667,121.9,81,14.910000000000025,0,6.77
Pisco,-13.7,-76.2167,65,26.03000000000003,0,4.63
Tomatlán,19.9333,-105.25,37,31.230000000000018,86,2.81
Baoqing,46.3317,132.2111,96,-23.799999999999983,66,1.87
Nālūt,30.3333,10.85,47,9.689999999999998,47,3.07
Colares,38.7992,-9.4469,63,11.850000000000023,0,0.89
San Cristobal,7.7669,-72.225,49,25.100000000000023,83,2.92
Yeppoon,-23.1333,150.7333,70,22.879999999999995,93,6.25
Toamasina,-18.1667,49.3833,100,23.0,75,0.0
Hamilton,39.1834,-84.5333,60,10.970000000000027,100,4.63
Hilo,19.7297,-155.09,72,24.890000000000043,75,1.54
General Roca,-39.0333,-67.5833,76,19.220000000000027,100,6.37
Atar,20.5169,-13.0499,9,24.200000000000045,0,4.9
Monte Patria,-30.6919,-70.9467,26,28.420000000000016,0,4.83
Hobyo,5.3505,48.5268,79,25.700000000000045,100,7.45
Provideniya,64.3833,-173.3,88,-24.139999999999986,6,2.63
Darhan,49.4867,105.9228,95,-12.849999999999966,100,0.3
Sæby,57.3319,10.5225,54,3.3100000000000023,3,15.69
Elk City,35.412,-99.4043,40,1.990000000000009,100,11.32
Mahon,39.8885,4.2658,93,7.310000000000002,20,2.57
Sibu,2.3,111.8167,100,24.170000000000016,40,0.0
Nānākuli,21.3906,-158.1547,69,26.5,0,2.06
Ulladulla,-35.35,150.4667,76,19.49000000000001,89,5.89
Westport,41.1415,-73.3579,60,9.310000000000002,0,0.89
Vardø,70.3705,31.1107,74,-2.8899999999999864,0,9.77
Broome,42.2506,-75.833,64,6.420000000000016,0,3.13
Longyearbyen,78.2186,15.6401,67,-9.089999999999975,75,5.14
Batticaloa,7.7102,81.6924,69,25.210000000000036,97,4.19
Praia da Vitória,38.7333,-27.0667,94,17.140000000000043,40,13.05
Vågåmo,61.8751,9.0967,77,-10.669999999999959,35,4.84
Koutiala,12.3917,-5.4642,9,23.82000000000005,0,4.08
Umm Kaddadah,13.6017,26.6876,24,14.03000000000003,0,7.64
Tuktoyaktuk,69.4541,-133.0374,76,-26.99999999999997,75,3.09
Tai’an,36.1853,117.12,65,-4.439999999999998,13,1.88
Simao,22.7886,100.9748,98,8.150000000000034,24,0.68
Ifo,6.8144,3.1958,51,26.810000000000002,58,1.62
Kita,13.0349,-9.4895,12,25.82000000000005,0,2.47
Enshi,30.3,109.4833,82,6.32000000000005,31,0.4
Kaithal,29.8,76.3833,83,11.460000000000036,85,1.86
Sarankhola,22.3082,89.7897,62,15.090000000000032,2,1.19
Morondava,-20.2833,44.2833,89,24.590000000000032,100,2.21
Cockburn Town,21.4612,-71.1419,77,25.129999999999995,3,7.95
Rafrāf,37.1904,10.1837,64,7.180000000000007,0,2.14
Pangnirtung,66.1451,-65.7125,70,-24.99999999999997,75,5.14
Mount Gambier,-37.8333,140.7667,82,13.950000000000045,0,4.63
Castro,-24.7911,-50.0119,79,24.02000000000004,52,1.32
Iquique,-20.2208,-70.1431,73,23.02000000000004,9,4.59
Port Hedland,-20.3167,118.5667,74,27.03000000000003,75,3.09
Sinaloa,25.0,-107.5,34,31.170000000000016,19,2.24
Lethem,3.3803,-59.7968,37,33.72000000000003,99,3.62
Glendive,47.1053,-104.7125,61,-15.289999999999964,0,3.6
Vicksburg,32.3526,-90.8779,56,22.28000000000003,75,4.12
Sioux Lookout,50.1001,-91.917,64,-22.789999999999964,75,7.2
São Desidério,-12.3633,-44.9733,63,28.30000000000001,33,2.18
Rožňava,48.6601,20.5376,90,-0.5099999999999909,88,0.89
Skagen,57.7209,10.5839,59,2.3700000000000045,18,18.89
Margherita,27.2833,95.6833,73,12.75,24,1.06
Mareeba,-17.0,145.4333,93,23.400000000000034,70,0.75
Kupang,-10.1667,123.5833,87,25.439999999999998,100,5.7
Presidente Venceslau,-21.8761,-51.8439,41,31.110000000000014,55,3.4
Gimbi,9.1667,35.8333,41,16.600000000000023,96,0.34
Kabansk,52.0486,106.6528,96,-11.729999999999961,100,0.55
Weligama,5.9667,80.4167,85,24.439999999999998,85,1.21
Tateyama,34.9833,139.8667,73,2.830000000000041,79,3.32
Harper,4.375,-7.7169,80,26.450000000000045,20,2.96
Santa Cruz Cabrália,-16.2781,-39.0247,74,29.129999999999995,40,4.12
Anzio,41.4853,12.6179,72,10.210000000000036,34,2.54
Susanville,40.4163,-120.653,62,6.6200000000000045,0,2.68
Qaqortoq,60.7167,-46.0333,79,8.28000000000003,100,4.86
Teya,60.3778,92.6267,89,-10.609999999999957,100,4.08
Uthal,25.8072,66.6219,77,20.870000000000005,4,1.18
Grindavik,63.8424,-22.4338,80,-0.7399999999999523,0,5.66
Terryville,40.909,-73.0651,65,9.150000000000034,40,2.24
Diffa,13.3154,12.6113,24,16.890000000000043,3,4.04
Zhigansk,66.7697,123.3711,95,-27.069999999999965,100,8.16
Plainview,40.7765,-73.4673,62,9.860000000000014,0,0.45
Kavieng,-2.5744,150.7967,82,27.350000000000023,100,9.19
Ixtapa,20.7,-105.2,47,26.57000000000005,100,2.57
Rio Grande,-32.035,-52.0986,76,33.06,54,6.25
Fort Nelson,58.8053,-122.7002,76,-26.22999999999999,40,2.06
Paita,-5.0892,-81.1144,69,30.310000000000002,100,6.56
Sakakah,29.9697,40.2064,61,10.760000000000048,57,9.14
Tyrma,50.0833,132.1667,100,-31.149999999999977,91,0.49
Ambikāpur,23.1167,83.2,25,10.110000000000014,2,0.82
Gazimurskiy Zavod,51.5461,118.3266,98,-30.22999999999999,12,0.97
Kandete,-9.15,33.8,93,14.939999999999998,100,0.67
Oktyabr'skoye,43.0645,44.7417,100,-3.919999999999959,100,3.0
Lüderitz,-26.6481,15.1594,72,22.379999999999995,41,4.07
Tagusao,9.1924,117.8141,85,25.55000000000001,100,3.81
Ladovskaya Balka,45.6297,41.4023,93,-4.359999999999957,95,3.51
Lagoa,39.05,-27.9833,86,16.439999999999998,45,14.39
Katsuura,35.1333,140.3,77,2.8799999999999955,100,3.32
Forsytheganj,52.6333,29.7333,95,-1.1999999999999886,100,4.53
Kamień Pomorski,53.9685,14.7726,82,3.8600000000000136,100,10.7
Andreapol',56.6513,32.2664,97,-1.0299999999999727,100,5.24
Huarmey,-10.0681,-78.1522,75,24.53000000000003,25,4.82
Egvekinot,66.3167,-179.1667,76,-27.809999999999974,3,3.84
Inhambane,-23.865,35.3833,73,25.99000000000001,20,4.02
Rodrigues Alves,-7.738,-72.6509,57,23.110000000000014,100,1.66
Palauig,15.435,119.9045,75,24.180000000000007,23,1.93
Galveston,29.3669,-94.9669,75,26.75,75,4.02
Kieta,-6.2167,155.6333,80,26.129999999999995,83,0.83
São Filipe,14.8961,-24.4956,76,23.32000000000005,33,5.23
Béjar,40.3864,-5.7634,62,5.32000000000005,4,3.15
Yangi Marg`ilon,40.4272,71.7189,65,4.400000000000034,75,2.06
Esim,4.8699,-2.2405,77,26.58000000000004,24,3.04
Tilichiki,60.4667,166.1,83,-27.74999999999997,3,4.0
Udon Thani,17.3333,102.8333,75,18.900000000000034,6,2.2
Hearst,49.6835,-83.6665,92,-23.859999999999985,100,4.98
Faanui,-16.4833,-151.75,78,26.810000000000002,100,9.86
Bon Air,37.5249,-77.5578,39,14.07000000000005,80,1.34
Beckley,37.7782,-81.1882,87,5.390000000000043,100,0.89
Hokitika,-42.7167,170.9667,67,13.840000000000032,100,0.46
Suntar,62.1444,117.6319,100,-25.379999999999967,55,1.84
East London,-33.0153,27.9116,75,22.03000000000003,2,4.6
Gwanda,-20.9333,29.0,47,22.180000000000007,24,3.53
Pointe Michel,15.25,-61.3833,58,29.52000000000004,75,3.6
Mogadishu,2.0371,45.3438,85,25.75,75,8.6
Mahabalipuram,12.6264,80.1722,68,25.03000000000003,92,3.49
Sfântu Gheorghe,45.8667,25.7833,96,-6.2999999999999545,69,0.65
Vokhtoga,58.8147,41.0461,93,-8.099999999999966,100,4.66
Nouadhibou,20.931,-17.0347,27,22.99000000000001,0,3.6
Waingapu,-9.6567,120.2641,85,24.650000000000034,100,2.67
Kawalu,-7.3817,108.2082,94,21.930000000000007,100,0.84
Vīsāvadar,21.3833,70.6833,39,18.910000000000025,0,2.6
Amarante do Maranhão,-5.5667,-46.7422,69,28.480000000000018,84,2.97
Nizhniy Kuranakh,58.8353,125.4869,98,-33.789999999999964,93,0.96
Mutoko,-17.397,32.2268,82,17.629999999999995,89,2.79
Pyapon,16.2833,95.6833,83,21.0,9,2.77
Butea,47.0667,26.9167,61,-1.2699999999999818,37,2.39
Mandurah,-32.55,115.7,43,28.960000000000036,0,3.53
Hambantota,6.1241,81.1185,77,23.760000000000048,89,5.57
Khanewal,30.3,71.9333,74,12.900000000000034,0,2.67
Torbay,47.6666,-52.7314,75,-1.7999999999999545,75,11.32
Todos Santos,23.45,-110.2167,72,27.33000000000004,100,3.98
Buala,-8.145,159.5921,83,26.860000000000014,94,1.17
Bathurst,-33.4166,149.5806,81,14.900000000000034,95,1.34
Huicheng,23.0385,116.2899,86,11.970000000000027,0,4.42
Iqaluit,63.7506,-68.5145,69,-29.149999999999977,40,3.6
Vestmanna,62.1564,-7.1664,64,-1.4899999999999523,100,10.29
Powell River,49.8496,-124.5361,93,7.82000000000005,100,4.12
Los Andes,-32.8337,-70.5983,26,27.78000000000003,0,4.64
Warmbad,-28.45,18.7333,26,32.47000000000003,10,2.76
Malbork,54.0359,19.0266,85,3.8100000000000023,100,7.97
Magistral'nyy,56.1725,107.4458,98,-11.879999999999995,100,0.85
Hofn,64.2539,-15.2082,50,-3.9899999999999523,20,2.57
Katobu,-4.9408,122.5276,92,23.980000000000018,100,3.02
Sawākin,19.1059,37.3321,56,20.620000000000005,1,5.29
Port Moresby,-9.4431,147.1797,100,23.680000000000007,75,2.57
Poum,-20.2333,164.0167,75,26.79000000000002,36,3.19
Saint George,37.1041,-113.5841,51,12.970000000000027,3,0.89
Shellbrook,53.2168,-106.4011,91,-26.42999999999998,6,1.59
Pauini,-7.7136,-66.9764,56,31.620000000000005,100,0.36
Port Lincoln,-34.7333,135.8667,83,18.79000000000002,0,4.61
San Quintín,30.4833,-115.95,73,17.32000000000005,8,6.25
Kemijärvi,66.7131,27.4306,98,-0.23999999999995225,100,2.35
Yuancheng,36.652,107.7896,65,-0.7799999999999727,0,2.78
Tianpeng,30.9866,103.9393,68,8.260000000000048,100,1.73
Andros Town,24.7,-77.7667,57,23.980000000000018,55,5.48
Bonthe,7.5264,-12.505,76,27.07000000000005,23,4.31
Khor,47.8861,134.9464,100,-22.99999999999997,100,0.99
Ternate,0.8,127.4,83,26.410000000000025,100,3.0
Killam,52.7834,-111.8518,76,-19.22999999999999,5,3.6
Buin,-33.7333,-70.75,17,28.920000000000016,0,4.93
Aquidauana,-20.4711,-55.7872,30,35.870000000000005,84,3.18
Sydney,-33.8679,151.2073,68,21.29000000000002,100,1.79
Kumul,42.8,93.45,42,-3.0399999999999636,100,1.2
Pandan,14.0453,124.1694,92,24.420000000000016,100,6.69
Niceville,30.5169,-86.4822,77,21.430000000000007,0,4.47
Acarí,-15.4311,-74.6158,59,28.02000000000004,11,5.69
Mt. Pleasant,32.7941,-79.8626,51,18.390000000000043,0,0.45
Nemuro,43.3236,145.575,74,-5.479999999999961,47,5.73
Orange Cove,36.6244,-119.3137,52,16.450000000000045,7,1.28
Vila Franca do Campo,37.7167,-25.4333,85,16.230000000000018,98,10.34
Belen,36.4891,36.2233,44,-0.9199999999999591,40,7.72
Karratha,-20.7377,116.8463,61,28.350000000000023,3,3.53
Matara,5.9485,80.5353,86,23.920000000000016,81,1.52
Morón,-34.6534,-58.6198,78,28.30000000000001,100,3.13
Rāmānuj Ganj,23.8,83.7,31,9.170000000000016,21,1.33
Bintulu,3.1667,113.0333,94,24.230000000000018,20,1.34
Baghdad,33.3406,44.4009,24,9.650000000000034,13,8.76
Along,28.1667,94.7667,60,7.900000000000034,34,0.88
Campos dos Goytacazes,-21.75,-41.3,58,30.03000000000003,0,8.23
Beloha,-25.1667,45.05,76,21.29000000000002,8,3.68
Parabel',58.6978,81.4825,94,-12.419999999999959,90,3.52
Chumikan,54.7183,135.315,88,-25.389999999999986,84,6.66
Kokopo,-4.352,152.2633,89,25.04000000000002,100,4.97
Fairbanks,64.8378,-147.7164,78,-15.21999999999997,75,0.0
Kaputa,-8.4689,29.6619,90,19.390000000000043,100,1.85
Constitución,-35.3333,-72.4167,54,18.24000000000001,0,7.81
Vila,42.0304,-8.1588,62,5.490000000000009,20,1.84
Fortuna,40.5982,-124.1573,84,14.960000000000036,20,0.89
Kropotkin,45.4375,40.5756,97,-3.919999999999959,99,2.85
Kidal,18.4411,1.4078,19,17.230000000000018,0,4.6
Sirte,31.2089,16.5887,63,14.090000000000032,70,2.76
Jipijapa,-1.3333,-80.5833,65,26.720000000000027,100,3.24
Meulaboh,4.1363,96.1285,84,24.970000000000027,92,1.99
Saint-Pierre,-21.3393,55.4781,88,24.82000000000005,0,1.54
Conde,-7.2597,-34.9075,58,29.700000000000045,0,5.66
Belaya Gora,68.5333,146.4167,100,-41.069999999999965,61,0.79
Mount Isa,-20.7333,139.5,100,23.870000000000005,92,3.09
Sambava,-14.2667,50.1667,88,25.32000000000005,100,2.19
Smidovich,48.6,133.8167,100,-28.20999999999998,95,1.26
Yalí,6.6746,-74.8343,55,26.310000000000002,44,1.94
Saldanha,-33.0117,17.9442,77,18.03000000000003,10,8.52
Homer,59.6425,-151.5483,93,-1.6399999999999864,100,3.09
Chapais,49.7834,-74.8492,94,-21.119999999999976,100,3.72
Calapi,11.9435,125.0206,98,22.0,73,1.28
Banda Aceh,5.5577,95.3222,81,25.160000000000025,90,3.91
